generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.860213279724121,1024,-73366.75,-13.918718338012695,-71.647216796875,-54.26603317260742,False,nan,nan,nan,False,nan,nan,nan,False,nan,1413993088.0,74.84689331054688,41881455034368.0,0.24985022842884064,1024,1.0,2.791083812713623
10,6.191730499267578,1024,-68887.140625,-13.265745162963867,-67.27259826660156,-42.65639114379883,False,nan,nan,nan,False,nan,nan,nan,False,nan,2326972928.0,78.76851654052734,358348650184704.0,0.3154367506504059,1024,1.0,3.381903886795044
15,34.444149017333984,1024,-71201.7734375,-13.182580947875977,-69.5329818725586,-45.86521911621094,False,nan,nan,nan,False,nan,nan,nan,False,nan,3.5639104112306086e-07,0.48865923285484314,0.11536816507577896,0.02146574854850769,1024,1.0,3.8506133556365967
20,35.46194839477539,1024,-70706.1953125,-13.182580947875977,-69.04901885986328,-43.361812591552734,False,nan,nan,nan,False,nan,nan,nan,False,nan,7.725026875959884e-07,0.5281180143356323,0.19106225669384003,0.024972394108772278,1024,1.0,3.4241909980773926
25,36.453086853027344,1024,-69883.9375,-12.888498306274414,-68.24603271484375,-42.39154052734375,False,nan,nan,nan,False,nan,nan,nan,False,nan,8.598620979682892e-07,0.4906255602836609,0.26204347610473633,0.026927893981337547,1024,1.0,3.4577035903930664
30,37.47998046875,1024,-69096.46875,-12.888498306274414,-67.47702026367188,-40.991981506347656,False,nan,nan,nan,False,nan,nan,nan,False,nan,1.8820427385435323e-06,0.4951266050338745,0.4023638069629669,0.028510957956314087,1024,1.0,3.2473180294036865
35,55.96937561035156,1024,-68730.75,-12.888498306274414,-67.119873046875,-45.97196578979492,False,nan,nan,nan,False,nan,nan,nan,False,nan,4.494322299957275,1.8062947988510132,6909754.5,0.18708978593349457,1024,1.0,4.758206844329834
40,57.15851593017578,1024,-67221.8046875,-12.888498306274414,-65.64629364013672,-45.1115837097168,False,nan,nan,nan,False,nan,nan,nan,False,nan,5.48757791519165,1.825600266456604,9175793.0,0.19739799201488495,1024,1.0,4.7058515548706055
45,58.208988189697266,1024,-65766.2734375,-12.640376091003418,-64.2248764038086,-43.36008834838867,False,nan,nan,nan,False,nan,nan,nan,False,nan,5.712104797363281,1.8890153169631958,9750680.0,0.2030290812253952,1024,1.0,4.684054374694824
50,59.2269287109375,1024,-64664.05078125,-12.640376091003418,-63.14848709106445,-42.317691802978516,False,nan,nan,nan,False,nan,nan,nan,False,nan,7.952311992645264,1.9593727588653564,11982326.0,0.20902515947818756,1024,1.0,4.704958438873291
55,60.265785217285156,1024,-63234.03125,-12.640376091003418,-61.751983642578125,-40.97074890136719,False,nan,nan,nan,False,nan,nan,nan,False,nan,8.939702033996582,1.8257838487625122,13889877.0,0.21291732788085938,1024,1.0,4.67349100112915
60,61.23761749267578,1024,-62466.1953125,-12.640376091003418,-61.00214385986328,-40.260250091552734,False,nan,nan,nan,False,nan,nan,nan,False,nan,11.440689086914062,2.132894277572632,15259846.0,0.21675796806812286,1024,1.0,4.706943035125732
65,76.27044677734375,1024,-61522.046875,-12.640376091003418,-60.08012390136719,-40.260555267333984,False,nan,nan,nan,False,nan,nan,nan,False,nan,821.8203735351562,3.330918550491333,666840320.0,0.3049764335155487,1024,1.0,4.057183265686035
70,77.44926452636719,1024,-60427.87890625,-12.640376091003418,-59.011600494384766,-39.689781188964844,False,nan,nan,nan,False,nan,nan,nan,False,nan,1097.085205078125,4.094875812530518,959969600.0,0.3256324529647827,1024,1.0,4.1152215003967285
75,78.67243957519531,1024,-59385.84375,-12.640376091003418,-57.993988037109375,-39.0659294128418,False,nan,nan,nan,False,nan,nan,nan,False,nan,1088.659423828125,4.409162521362305,1198009344.0,0.3385602533817291,1024,1.0,4.131775856018066
80,79.83685302734375,1024,-58923.46875,-12.640376091003418,-57.542449951171875,-39.34815216064453,False,nan,nan,nan,False,nan,nan,nan,False,nan,1093.6385498046875,3.9967944622039795,1302525056.0,0.3471262753009796,1024,1.0,4.143068790435791
85,81.02620697021484,1024,-58090.82421875,-12.640376091003418,-56.72932052612305,-39.01283264160156,False,nan,nan,nan,False,nan,nan,nan,False,nan,1221.01220703125,4.146615028381348,1613791744.0,0.3518037497997284,1024,1.0,4.1541900634765625
90,82.17056274414062,1024,-57344.1484375,-12.640376091003418,-56.000144958496094,-38.50154495239258,False,nan,nan,nan,False,nan,nan,nan,False,nan,1173.8873291015625,3.932279586791992,1666421632.0,0.36030149459838867,1024,1.0,4.15221643447876
95,83.29618072509766,1024,-56549.0390625,-12.640376091003418,-55.223670959472656,-38.14101028442383,False,nan,nan,nan,False,nan,nan,nan,False,nan,1315.83544921875,3.3965213298797607,1979753984.0,0.3649234473705292,1024,1.0,4.1654510498046875
100,84.30059814453125,1024,-55995.1953125,-12.619556427001953,-54.68280792236328,-37.87376022338867,False,nan,nan,nan,False,nan,nan,nan,False,nan,1285.829345703125,3.732952117919922,1984340480.0,0.36720016598701477,1024,1.0,4.205722808837891
105,95.96400451660156,1024,-57015.1640625,-12.350286483764648,-55.678871154785156,-36.75890350341797,False,nan,nan,nan,False,nan,nan,nan,False,nan,505.328369140625,2.8793694972991943,756327616.0,0.3462509214878082,1024,1.0,4.088869094848633
110,96.97859954833984,1024,-56291.10546875,-12.350286483764648,-54.97178268432617,-36.361141204833984,False,nan,nan,nan,False,nan,nan,nan,False,nan,662.6400756835938,2.8853607177734375,965431488.0,0.3588719367980957,1024,1.0,4.13469123840332
115,97.96052551269531,1024,-55811.875,-12.350286483764648,-54.5037841796875,-35.318992614746094,False,nan,nan,nan,False,nan,nan,nan,False,nan,640.7503051757812,2.8707940578460693,1162180480.0,0.36967384815216064,1024,1.0,4.171931266784668
120,99.04551696777344,1024,-55883.4765625,-12.350286483764648,-54.573707580566406,-35.055335998535156,False,nan,nan,nan,False,nan,nan,nan,False,nan,705.7103271484375,2.8473637104034424,1375413120.0,0.3780241906642914,1024,1.0,4.182024955749512
125,100.18143463134766,1024,-55364.84375,-12.350286483764648,-54.067230224609375,-34.51959991455078,False,nan,nan,nan,False,nan,nan,nan,False,nan,802.586669921875,2.775519371032715,1415378944.0,0.38490423560142517,1024,1.0,4.203754901885986
130,101.34628295898438,1024,-54802.5625,-12.350286483764648,-53.51812744140625,-33.62520217895508,False,nan,nan,nan,False,nan,nan,nan,False,nan,819.7085571289062,2.856600761413574,1490425088.0,0.38857078552246094,1024,1.0,4.198789119720459
135,102.47683715820312,1024,-54440.59375,-12.350286483764648,-53.164642333984375,-33.59929656982422,False,nan,nan,nan,False,nan,nan,nan,False,nan,942.84765625,2.894479751586914,1623494144.0,0.3957699239253998,1024,1.0,4.18375301361084
140,103.62347412109375,1024,-54227.90625,-12.350286483764648,-52.956939697265625,-33.46322250366211,False,nan,nan,nan,False,nan,nan,nan,False,nan,1004.752197265625,3.018721103668213,1715676672.0,0.39475536346435547,1024,1.0,4.172699928283691
145,104.75613403320312,1024,-54234.59765625,-12.350286483764648,-52.96347427368164,-33.717403411865234,False,nan,nan,nan,False,nan,nan,nan,False,nan,997.8055419921875,2.7493669986724854,1877109120.0,0.4023096561431885,1024,1.0,4.176671028137207
150,105.92106628417969,1024,-53844.984375,-12.350286483764648,-52.58299255371094,-33.078182220458984,False,nan,nan,nan,False,nan,nan,nan,False,nan,1223.408935546875,3.032478094100952,2084595200.0,0.4064072370529175,1024,1.0,4.16616678237915
155,128.97674560546875,1024,-53484.69140625,-12.350286483764648,-52.231143951416016,-33.09751510620117,False,nan,nan,nan,False,nan,nan,nan,False,nan,356.53662109375,3.7489171028137207,90352536.0,0.27017250657081604,1024,1.0,3.120108127593994
160,130.11244201660156,1024,-53606.9453125,-12.350286483764648,-52.35053253173828,-33.4609489440918,False,nan,nan,nan,False,nan,nan,nan,False,nan,481.5945129394531,3.4488682746887207,119168536.0,0.28748276829719543,1024,1.0,3.200897216796875
165,131.23841857910156,1024,-53470.1484375,-12.350286483764648,-52.216941833496094,-33.39479446411133,False,nan,nan,nan,False,nan,nan,nan,False,nan,494.9374084472656,3.174288034439087,147914736.0,0.29894688725471497,1024,1.0,3.233686685562134
170,132.36802673339844,1024,-53067.51953125,-12.350286483764648,-51.82374954223633,-32.80904769897461,False,nan,nan,nan,False,nan,nan,nan,False,nan,709.6799926757812,3.6949551105499268,176411136.0,0.3029043972492218,1024,1.0,3.1038026809692383
175,133.5293426513672,1024,-52692.734375,-12.350286483764648,-51.45774841308594,-32.43478012084961,False,nan,nan,nan,False,nan,nan,nan,False,nan,910.9017944335938,3.770951986312866,217404704.0,0.31488236784935,1024,1.0,2.959932565689087
180,134.6670379638672,1024,-52469.3046875,-12.350286483764648,-51.23955535888672,-31.84309196472168,False,nan,nan,nan,False,nan,nan,nan,False,nan,910.9017944335938,4.716492652893066,241424144.0,0.31504496932029724,1024,1.0,2.959772825241089
185,135.85671997070312,1024,-52354.6328125,-12.350286483764648,-51.12757110595703,-31.67066764831543,False,nan,nan,nan,False,nan,nan,nan,False,nan,910.9017944335938,4.6594109535217285,274268352.0,0.3220449388027191,1024,1.0,2.992638111114502
190,136.9989471435547,1024,-52168.71875,-12.350286483764648,-50.946014404296875,-31.248065948486328,False,nan,nan,nan,False,nan,nan,nan,False,nan,1070.8599853515625,4.716492652893066,314184000.0,0.3234142065048218,1024,1.0,2.991260290145874
195,138.13279724121094,1024,-52205.65625,-12.350286483764648,-50.982086181640625,-31.692928314208984,False,nan,nan,nan,False,nan,nan,nan,False,nan,1081.8414306640625,4.71353816986084,330890944.0,0.3261016607284546,1024,1.0,3.0070230960845947
200,139.2624969482422,1024,-51815.078125,-12.350286483764648,-50.60066223144531,-31.83185577392578,False,nan,nan,nan,False,nan,nan,nan,False,nan,1095.169677734375,3.770888328552246,374314528.0,0.3298549950122833,1024,1.0,3.0188262462615967
205,140.399658203125,1024,-51643.33984375,-12.350286483764648,-50.43294906616211,-31.087276458740234,False,nan,nan,nan,False,nan,nan,nan,False,nan,2275.067626953125,5.991847515106201,497021920.0,0.33431100845336914,1024,1.0,2.6780598163604736
210,141.53553771972656,1024,-51460.890625,-12.350286483764648,-50.25477600097656,-30.855573654174805,False,nan,nan,nan,False,nan,nan,nan,False,nan,4421.1650390625,7.392269611358643,533105248.0,0.33488011360168457,1024,1.0,2.6885039806365967
215,155.01754760742188,1024,-53660.8359375,-12.350286483764648,-52.403160095214844,-31.66036033630371,False,nan,nan,nan,False,nan,nan,nan,False,nan,587.7528076171875,2.7519872188568115,134259408.0,0.24834834039211273,1024,1.0,4.025766849517822
220,156.00405883789062,1024,-53546.765625,-12.350286483764648,-52.29176330566406,-31.34662437438965,False,nan,nan,nan,False,nan,nan,nan,False,nan,801.2796020507812,2.8107240200042725,193498608.0,0.26583361625671387,1024,1.0,4.081380367279053
225,156.9893035888672,1024,-53111.578125,-12.350286483764648,-51.86677551269531,-30.65330696105957,False,nan,nan,nan,False,nan,nan,nan,False,nan,1050.1966552734375,3.020505905151367,249086176.0,0.27507853507995605,1024,1.0,4.058691024780273
230,157.97271728515625,1024,-52814.2265625,-12.313138961791992,-51.576393127441406,-29.739992141723633,False,nan,nan,nan,False,nan,nan,nan,False,nan,1101.1072998046875,2.8107240200042725,296444128.0,0.283908873796463,1024,1.0,4.068905830383301
235,158.95663452148438,1024,-52851.12890625,-12.313138961791992,-51.612430572509766,-29.56352424621582,False,nan,nan,nan,False,nan,nan,nan,False,nan,1051.0164794921875,2.9461841583251953,336068384.0,0.28908124566078186,1024,1.0,4.0368876457214355
240,160.09837341308594,1024,-52962.3125,-12.313138961791992,-51.72100830078125,-29.466707229614258,False,nan,nan,nan,False,nan,nan,nan,False,nan,1302.6444091796875,3.7407164573669434,378146688.0,0.2973855435848236,1024,1.0,4.104395389556885
245,161.27198791503906,1024,-52737.55859375,-12.313138961791992,-51.501522064208984,-29.49834632873535,False,nan,nan,nan,False,nan,nan,nan,False,nan,1287.5262451171875,2.9249722957611084,397047776.0,0.2996692359447479,1024,1.0,4.097050666809082
250,162.40985107421875,1024,-52480.1328125,-12.313138961791992,-51.25012969970703,-28.971908569335938,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,1444.9002685546875,2.9252333641052246,419709664.0,0.29887714982032776,1024,1.0,4.0728960037231445
255,167.007080078125,1024,-63005.8984375,-12.313138961791992,-61.529197692871094,-39.3939208984375,False,nan,nan,nan,False,nan,nan,nan,False,nan,101.26786804199219,2.7140488624572754,32880976.0,0.16980135440826416,1024,1.0,4.353573799133301
260,168.09869384765625,1024,-60041.625,-12.313138961791992,-58.6343994140625,-37.69823455810547,False,nan,nan,nan,False,nan,nan,nan,False,nan,268.54144287109375,2.6729249954223633,71425512.0,0.2150324583053589,1024,1.0,4.188411235809326
265,169.1037139892578,1024,-58806.55859375,-12.313138961791992,-57.428279876708984,-37.1996955871582,False,nan,nan,nan,False,nan,nan,nan,False,nan,318.57781982421875,2.8897526264190674,114022864.0,0.2341732233762741,1024,1.0,4.259613513946533
270,170.145751953125,1024,-57556.53125,-12.313138961791992,-56.207550048828125,-35.668819427490234,False,nan,nan,nan,False,nan,nan,nan,False,nan,406.9446105957031,2.7398462295532227,146387808.0,0.25293704867362976,1024,1.0,4.040410995483398
275,171.1580810546875,1024,-56374.93359375,-12.313138961791992,-55.053646087646484,-34.855224609375,False,nan,nan,nan,False,nan,nan,nan,False,nan,647.322021484375,2.986438751220703,212002144.0,0.2626037299633026,1024,1.0,3.912360906600952
280,173.306884765625,1024,-55658.90625,-12.313138961791992,-54.354400634765625,-33.87428283691406,False,nan,nan,nan,False,nan,nan,nan,False,nan,635.29833984375,2.713836431503296,236985104.0,0.2711062729358673,1024,1.0,3.9629101753234863
285,183.68045043945312,1024,-54981.6640625,-12.313138961791992,-53.693031311035156,-34.71338653564453,False,nan,nan,nan,False,nan,nan,nan,False,nan,24.660865783691406,2.346479892730713,6943110.5,0.18189053237438202,1024,1.0,3.3186581134796143
290,184.66665649414062,1024,-54113.05859375,-12.313138961791992,-52.844783782958984,-34.26753616333008,False,nan,nan,nan,False,nan,nan,nan,False,nan,33.23931884765625,2.346989393234253,10076925.0,0.19375281035900116,1024,1.0,3.3468496799468994
295,185.70091247558594,1024,-53624.6328125,-12.313138961791992,-52.36780548095703,-33.76050567626953,False,nan,nan,nan,False,nan,nan,nan,False,nan,38.022056579589844,2.346989393234253,12945002.0,0.20128776133060455,1024,1.0,3.3955044746398926
300,186.6887664794922,1024,-53672.8203125,-12.313138961791992,-52.41486358642578,-33.78594970703125,False,nan,nan,nan,False,nan,nan,nan,False,nan,36.55855941772461,2.392639636993408,14633198.0,0.2056712657213211,1024,1.0,3.430379629135132
305,187.67437744140625,1024,-53245.20703125,-12.313138961791992,-51.99727249145508,-33.11654281616211,False,nan,nan,nan,False,nan,nan,nan,False,nan,57.57710647583008,2.07488751411438,15585717.0,0.21150289475917816,1024,1.0,3.5785648822784424
310,188.68624877929688,1024,-53112.3125,-12.313138961791992,-51.86749267578125,-32.73052978515625,False,nan,nan,nan,False,nan,nan,nan,False,nan,60.385990142822266,2.273357391357422,16808662.0,0.21393747627735138,1024,1.0,3.6215128898620605
315,189.69741821289062,1024,-52801.125,-12.313138961791992,-51.5635986328125,-32.6561279296875,False,nan,nan,nan,False,nan,nan,nan,False,nan,71.58438110351562,2.392639636993408,18677808.0,0.21712082624435425,1024,1.0,3.4998981952667236
320,190.711669921875,1024,-52394.1484375,-12.313138961791992,-51.166160583496094,-32.73069763183594,False,nan,nan,nan,False,nan,nan,nan,False,nan,74.14020538330078,2.248328447341919,20836586.0,0.22008644044399261,1024,1.0,3.5431571006774902
325,191.69802856445312,1024,-52572.4140625,-12.313138961791992,-51.340248107910156,-32.56193923950195,False,nan,nan,nan,False,nan,nan,nan,False,nan,90.81910705566406,2.580981969833374,27256498.0,0.22361336648464203,1024,1.0,3.3919334411621094
330,192.71148681640625,1024,-52660.97265625,-12.313138961791992,-51.42673110961914,-32.31978225708008,False,nan,nan,nan,False,nan,nan,nan,False,nan,107.12244415283203,2.638167142868042,29530192.0,0.22623147070407867,1024,1.0,3.40140700340271
335,193.6978759765625,1024,-52653.6640625,-12.313138961791992,-51.419593811035156,-32.275604248046875,False,nan,nan,nan,False,nan,nan,nan,False,nan,110.93793487548828,2.474121332168579,31922726.0,0.22368554770946503,1024,1.0,3.4280073642730713
340,194.68714904785156,1024,-52608.64453125,-12.313138961791992,-51.37562942504883,-32.08753204345703,False,nan,nan,nan,False,nan,nan,nan,False,nan,127.15877532958984,2.638167142868042,36006308.0,0.2292032390832901,1024,1.0,3.4080100059509277
345,195.6975860595703,1024,-52398.53125,-12.313138961791992,-51.170440673828125,-31.806001663208008,False,nan,nan,nan,False,nan,nan,nan,False,nan,137.6734619140625,2.638167142868042,34502228.0,0.23037748038768768,1024,1.0,3.389120101928711
350,196.71298217773438,1024,-52558.5859375,-12.313138961791992,-51.326744079589844,-31.657827377319336,False,nan,nan,nan,False,nan,nan,nan,False,nan,137.06155395507812,2.092075824737549,41734160.0,0.2329125851392746,1024,1.0,3.4213333129882812
355,197.72662353515625,1024,-52591.6640625,-12.313138961791992,-51.359046936035156,-31.637062072753906,False,nan,nan,nan,False,nan,nan,nan,False,nan,154.95965576171875,2.580981969833374,43015024.0,0.23396188020706177,1024,1.0,3.4476091861724854
360,198.84786987304688,1024,-52376.59375,-12.313138961791992,-51.149017333984375,-31.14920997619629,False,nan,nan,nan,False,nan,nan,nan,False,nan,150.9813232421875,2.481639862060547,44040408.0,0.23517243564128876,1024,1.0,3.4325945377349854
365,210.65060424804688,1024,-53445.078125,-12.313138961791992,-52.19245910644531,-32.06345748901367,False,nan,nan,nan,False,nan,nan,nan,False,nan,20.419294357299805,2.539917230606079,11535271.0,0.1997518390417099,1024,1.0,4.211548805236816
370,211.78892517089844,1024,-53651.9765625,-12.313138961791992,-52.394508361816406,-32.200984954833984,False,nan,nan,nan,False,nan,nan,nan,False,nan,20.78583526611328,2.2343568801879883,14241603.0,0.2130059003829956,1024,1.0,4.229210376739502
375,212.92242431640625,1024,-53251.30078125,-12.313138961791992,-52.00322341918945,-31.54180145263672,False,nan,nan,nan,False,nan,nan,nan,False,nan,21.966386795043945,2.4619832038879395,15907482.0,0.21723049879074097,1024,1.0,4.2208452224731445
380,214.10267639160156,1024,-53139.26171875,-12.313138961791992,-51.8938102722168,-31.41942596435547,False,nan,nan,nan,False,nan,nan,nan,False,nan,23.624916076660156,2.4619832038879395,17577564.0,0.22244171798229218,1024,1.0,4.246177673339844
385,215.16578674316406,1024,-52809.734375,-12.313138961791992,-51.57200622558594,-30.832538604736328,False,nan,nan,nan,False,nan,nan,nan,False,nan,23.83749771118164,2.3122401237487793,20226378.0,0.22420315444469452,1024,1.0,4.261534690856934
390,216.1761932373047,1024,-52801.5859375,-12.313138961791992,-51.564048767089844,-30.961570739746094,False,nan,nan,nan,False,nan,nan,nan,False,nan,27.457000732421875,2.425861120223999,21552368.0,0.22949576377868652,1024,1.0,4.304166316986084
395,217.15872192382812,1024,-52418.26953125,-12.313138961791992,-51.18971633911133,-30.809160232543945,False,nan,nan,nan,False,nan,nan,nan,False,nan,25.700824737548828,2.5822393894195557,21884668.0,0.2308158129453659,1024,1.0,4.341689586639404
400,218.14260864257812,1024,-52374.3046875,-12.313138961791992,-51.14678192138672,-30.66958999633789,False,nan,nan,nan,False,nan,nan,nan,False,nan,32.10323715209961,2.3406853675842285,22077154.0,0.2309638261795044,1024,1.0,4.349472999572754
405,219.12550354003906,1024,-52077.05859375,-12.313138961791992,-50.856502532958984,-30.82594871520996,False,nan,nan,nan,False,nan,nan,nan,False,nan,33.160911560058594,2.1230390071868896,22374448.0,0.23248420655727386,1024,1.0,4.359908103942871
410,220.11488342285156,1024,-52463.875,-12.313138961791992,-51.2342529296875,-31.077930450439453,False,nan,nan,nan,False,nan,nan,nan,False,nan,42.31254196166992,2.3784048557281494,25397632.0,0.23546986281871796,1024,1.0,4.385152339935303
415,221.16510009765625,1024,-51977.21875,-12.313138961791992,-50.759002685546875,-30.147550582885742,False,nan,nan,nan,False,nan,nan,nan,False,nan,47.69586944580078,2.5727877616882324,26337416.0,0.23899851739406586,1024,1.0,4.364531517028809
420,222.15036010742188,1024,-52020.6875,-12.313138961791992,-50.80145263671875,-30.077974319458008,False,nan,nan,nan,False,nan,nan,nan,False,nan,47.13539123535156,2.5014395713806152,26986328.0,0.23859214782714844,1024,1.0,4.3682861328125
