generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.427282333374023,1024,-74845.8203125,-14.362899780273438,-73.09162139892578,-57.971702575683594,False,nan,nan,nan,False,nan,nan,nan,False,nan,187293200.0,37.73722839355469,34883030220800.0,0.2859964072704315,1024,1.0,4.561307430267334
10,5.563531875610352,1024,-72492.203125,-14.362899780273438,-70.79316711425781,-47.929283142089844,False,nan,nan,nan,False,nan,nan,nan,False,nan,245007584.0,39.19767379760742,157417463611392.0,0.3791145086288452,1024,1.0,4.365601539611816
15,36.661495208740234,1024,-72096.390625,-13.148138046264648,-70.40663146972656,-50.46009063720703,False,nan,nan,nan,False,nan,nan,nan,False,nan,3.2395146831731836e-07,0.5645955204963684,0.11060862988233566,0.024666571989655495,1024,1.0,4.8248162269592285
20,37.777645111083984,1024,-71563.25,-13.005455017089844,-69.885986328125,-49.72873306274414,False,nan,nan,nan,False,nan,nan,nan,False,nan,4.2951455725415144e-07,0.5645955204963684,0.1818300485610962,0.027127215638756752,1024,1.0,4.86129093170166
25,38.8902473449707,1024,-70643.171875,-13.005455017089844,-68.98747253417969,-47.452091217041016,False,nan,nan,nan,False,nan,nan,nan,False,nan,4.476650019569206e-07,0.4921167194843292,0.22689221799373627,0.02863345853984356,1024,1.0,4.911093711853027
30,40.003746032714844,1024,-69428.0703125,-13.005455017089844,-67.80084991455078,-44.69929122924805,False,nan,nan,nan,False,nan,nan,nan,False,nan,4.6547319243472884e-07,0.5112632513046265,0.32760483026504517,0.029822081327438354,1024,1.0,4.912718296051025
35,62.65129852294922,1024,-69668.75,-12.923579216003418,-68.035888671875,-44.97732925415039,False,nan,nan,nan,False,nan,nan,nan,False,nan,380.9696350097656,4.02520227432251,38017080.0,0.22282660007476807,1024,1.0,4.532101154327393
40,63.64628219604492,1024,-69472.765625,-12.923579216003418,-67.84449768066406,-44.870140075683594,False,nan,nan,nan,False,nan,nan,nan,False,nan,444.12469482421875,4.09177303314209,65257876.0,0.24246490001678467,1024,1.0,4.5591254234313965
45,64.65446472167969,1024,-68423.890625,-12.923579216003418,-66.82020568847656,-43.35308837890625,False,nan,nan,nan,False,nan,nan,nan,False,nan,680.7230834960938,4.354994297027588,86070304.0,0.2541261911392212,1024,1.0,4.074701309204102
50,65.783935546875,1024,-67549.5859375,-12.879006385803223,-65.96639251708984,-41.829185485839844,False,nan,nan,nan,False,nan,nan,nan,False,nan,1063.9749755859375,3.9311046600341797,106160736.0,0.26231303811073303,1024,1.0,3.9541285037994385
55,66.91667938232422,1024,-66976.34375,-12.879006385803223,-65.40658569335938,-41.63853454589844,False,nan,nan,nan,False,nan,nan,nan,False,nan,1184.526123046875,4.354994297027588,126081368.0,0.2663593292236328,1024,1.0,4.016852378845215
60,68.06661224365234,1024,-66218.5390625,-12.879006385803223,-64.66654205322266,-40.70480728149414,False,nan,nan,nan,False,nan,nan,nan,False,nan,1451.389892578125,4.083835601806641,143718528.0,0.2724768817424774,1024,1.0,4.044483661651611
65,91.92282104492188,1024,-64039.66796875,-12.879006385803223,-62.53873825073242,-38.57857894897461,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.8482756018638611,3.7018184661865234,417603.3125,0.14261217415332794,1024,1.0,4.908967018127441
