generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.843154430389404,1024,-73366.75,-13.918718338012695,-71.647216796875,-54.26603317260742,False,nan,nan,nan,False,nan,nan,nan,False,nan,1413993088.0,74.84689331054688,41881455034368.0,0.24985022842884064,1024,1.0,2.791083812713623
10,5.834981918334961,1024,-68887.140625,-13.265745162963867,-67.27259826660156,-42.65639114379883,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,2326972928.0,78.76851654052734,358348650184704.0,0.3154367506504059,1024,1.0,3.381903886795044
15,37.93149185180664,1024,-68286.796875,-12.961339950561523,-66.68632507324219,-35.85724639892578,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.00030945963226258755,1.0417214632034302,5.514557838439941,0.01837930642068386,1024,1.0,3.859581708908081
20,38.903072357177734,1024,-69965.1171875,-12.856866836547852,-68.32530975341797,-40.11835861206055,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.00040764984441921115,1.0642887353897095,27.835845947265625,0.027066638693213463,1024,1.0,4.153397083282471
25,39.87614822387695,1024,-69859.984375,-12.856866836547852,-68.22264099121094,-40.35065841674805,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.0004361612081993371,1.0811337232589722,48.76505661010742,0.03420880064368248,1024,1.0,4.269552230834961
30,40.8890266418457,1024,-68574.328125,-12.856866836547852,-66.96711730957031,-39.108192443847656,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,0.0004857056774199009,1.1397638320922852,81.75770568847656,0.03941129520535469,1024,1.0,4.345723628997803
35,67.02168273925781,1024,-67790.8046875,-12.413408279418945,-66.20195770263672,-35.591636657714844,False,nan,nan,nan,False,nan,nan,nan,False,nan,187.25572204589844,7.342341423034668,29915212.0,0.1765790730714798,1024,1.0,4.457951545715332
40,69.12580108642578,1024,-66289.265625,-12.413408279418945,-64.73561096191406,-35.08769989013672,False,nan,nan,nan,False,nan,nan,nan,False,nan,409.0791015625,12.35377311706543,151851280.0,0.22783119976520538,1024,1.0,4.518564224243164
45,70.13746643066406,1024,-65020.4765625,-12.413408279418945,-63.496559143066406,-35.028526306152344,False,nan,nan,nan,False,nan,nan,nan,False,nan,710.022216796875,13.016357421875,347340352.0,0.25202786922454834,1024,1.0,4.448370933532715
50,71.12310028076172,1024,-63324.703125,-12.413408279418945,-61.84053039550781,-34.29661178588867,False,nan,nan,nan,False,nan,nan,nan,False,nan,833.4024658203125,13.62474536895752,534019680.0,0.26561933755874634,1024,1.0,4.4857707023620605
55,72.10762786865234,1024,-61588.828125,-12.413408279418945,-60.14533996582031,-33.31166076660156,False,nan,nan,nan,False,nan,nan,nan,False,nan,1256.630859375,14.185035705566406,743100224.0,0.2801632285118103,1024,1.0,4.53905725479126
60,74.31230163574219,1024,-60494.1171875,-12.413408279418945,-59.07628631591797,-33.021366119384766,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,1513.8751220703125,14.895686149597168,955034176.0,0.2902761399745941,1024,1.0,4.494615077972412
65,96.46875762939453,1024,-67286.234375,-12.413408279418945,-65.70921325683594,-34.47757339477539,False,nan,nan,nan,False,nan,nan,nan,False,nan,199.66017150878906,4.032996654510498,7304178.5,0.13984493911266327,1024,1.0,4.853910446166992
70,97.45564270019531,1024,-66255.8515625,-12.413408279418945,-64.7029800415039,-34.615482330322266,False,nan,nan,nan,False,nan,nan,nan,False,nan,330.2751159667969,6.978164196014404,28802850.0,0.18136191368103027,1024,1.0,4.87717866897583
