generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.914765357971191,1024,-71382.109375,-14.13257884979248,-69.70909118652344,-47.70027542114258,False,nan,nan,nan,False,nan,nan,nan,False,nan,2781665024.0,61.275146484375,707783901052928.0,0.24425673484802246,1024,1.0,3.5787150859832764
10,5.875802040100098,1024,-64086.00390625,-13.007694244384766,-62.583988189697266,-35.264713287353516,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,6752499200.0,62.082672119140625,3097665705345024.0,0.48633670806884766,1024,1.0,3.4461843967437744
15,37.821041107177734,1024,-71146.625,-12.514045715332031,-69.4791259765625,-45.593955993652344,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.03015066310763359,2.894009590148926,757.076904296875,0.041839540004730225,1024,1.0,4.35533332824707
20,38.78573226928711,1024,-71463.296875,-12.514045715332031,-69.78837585449219,-47.37866973876953,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.041616253554821014,2.0738327503204346,2510.553466796875,0.05873758718371391,1024,1.0,4.496206283569336
25,39.756614685058594,1024,-71149.0625,-12.514045715332031,-69.48150634765625,-47.367191314697266,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.05319849029183388,2.894009590148926,5302.1337890625,0.0677410438656807,1024,1.0,4.629508972167969
30,40.73372268676758,1024,-70500.7421875,-12.514045715332031,-68.84838104248047,-46.77494812011719,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,0.055867355316877365,2.456751585006714,7838.9345703125,0.07431704550981522,1024,1.0,4.76157808303833
35,62.02266311645508,1024,-73156.6875,-12.514045715332031,-71.44207763671875,-52.197105407714844,False,nan,nan,nan,False,nan,nan,nan,False,nan,268.624755859375,4.796758651733398,39707280.0,0.2070235013961792,1024,1.0,4.5726141929626465
40,64.1612548828125,1024,-72772.03125,-12.514045715332031,-71.06643676757812,-52.463043212890625,False,nan,nan,nan,False,nan,nan,nan,False,nan,893.735107421875,5.920264720916748,159010240.0,0.26167890429496765,1024,1.0,4.702561378479004
45,65.1692123413086,1024,-72044.015625,-12.514045715332031,-70.35548400878906,-51.01222229003906,False,nan,nan,nan,False,nan,nan,nan,False,nan,1484.7452392578125,4.7667741775512695,274342432.0,0.28360652923583984,1024,1.0,4.822456359863281
50,66.18084716796875,1024,-70765.828125,-12.514045715332031,-69.10725402832031,-48.742919921875,False,nan,nan,nan,False,nan,nan,nan,False,nan,1625.2794189453125,6.236231327056885,392270912.0,0.30168619751930237,1024,1.0,4.851032257080078
55,67.20201110839844,1024,-69354.5,-12.514045715332031,-67.72900390625,-47.091617584228516,False,nan,nan,nan,False,nan,nan,nan,False,nan,1697.6114501953125,5.220135688781738,536861568.0,0.31209906935691833,1024,1.0,4.896681785583496
60,69.31097412109375,1024,-69018.5,-12.514045715332031,-67.40087890625,-46.699867248535156,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,2342.727294921875,4.963520526885986,760621056.0,0.32185661792755127,1024,1.0,4.826798915863037
65,95.02753448486328,1024,-70595.734375,-12.26982593536377,-68.94114685058594,-46.6069450378418,False,nan,nan,nan,False,nan,nan,nan,False,nan,220.17498779296875,3.3608758449554443,132698272.0,0.23986490070819855,1024,1.0,4.656204700469971
70,96.0217514038086,1024,-69064.15625,-12.26982593536377,-67.44546508789062,-44.623416900634766,False,nan,nan,nan,False,nan,nan,nan,False,nan,516.5082397460938,3.160046339035034,310022272.0,0.30396947264671326,1024,1.0,4.699204444885254
75,97.02324676513672,1024,-67476.453125,-12.26982593536377,-65.89497375488281,-43.8358039855957,False,nan,nan,nan,False,nan,nan,nan,False,nan,411.5320129394531,3.2829015254974365,383675168.0,0.33291706442832947,1024,1.0,4.874548435211182
80,98.01141357421875,1024,-66071.7265625,-12.26982593536377,-64.5231704711914,-42.472747802734375,False,nan,nan,nan,False,nan,nan,nan,False,nan,540.409912109375,3.656646251678467,565688960.0,0.3517847955226898,1024,1.0,4.879828929901123
85,99.0091552734375,1024,-64793.99609375,-12.26982593536377,-63.275386810302734,-41.635135650634766,False,nan,nan,nan,False,nan,nan,nan,False,nan,538.974365234375,3.3822736740112305,669357824.0,0.3668828010559082,1024,1.0,4.909997463226318
90,101.11685180664062,1024,-63644.71484375,-12.26982593536377,-62.15304183959961,-40.94417953491211,False,nan,nan,nan,False,nan,nan,nan,False,nan,604.8146362304688,3.7543997764587402,746902016.0,0.374495267868042,1024,1.0,4.912960529327393
95,102.095703125,1024,-62459.8203125,-12.26982593536377,-60.99591827392578,-40.12416076660156,False,nan,nan,nan,False,nan,nan,nan,False,nan,888.7971801757812,3.415790319442749,891107008.0,0.38554587960243225,1024,1.0,4.835756301879883
100,103.07683563232422,1024,-61725.87890625,-12.26982593536377,-60.279178619384766,-39.87101364135742,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,1107.28466796875,3.636420965194702,1065016000.0,0.3892870843410492,1024,1.0,4.77371883392334
105,121.76594543457031,1024,-68282.671875,-12.26982593536377,-66.68229675292969,-37.74978256225586,False,nan,nan,nan,False,nan,nan,nan,False,nan,5.585908889770508,2.7609381675720215,3700942.0,0.10757020115852356,1024,1.0,4.4380269050598145
110,122.78047180175781,1024,-67844.6875,-12.26982593536377,-66.25457763671875,-39.17132568359375,False,nan,nan,nan,False,nan,nan,nan,False,nan,13.69809341430664,2.9272890090942383,15080173.0,0.15790040791034698,1024,1.0,4.620673179626465
115,123.7729721069336,1024,-66560.3125,-12.26982593536377,-65.00030517578125,-37.93183517456055,False,nan,nan,nan,False,nan,nan,nan,False,nan,24.65083885192871,3.3156585693359375,30902408.0,0.18815135955810547,1024,1.0,4.603102684020996
120,124.7873306274414,1024,-64757.59375,-12.26982593536377,-63.239837646484375,-36.38740158081055,False,nan,nan,nan,False,nan,nan,nan,False,nan,35.65755844116211,3.5083563327789307,49811896.0,0.21119378507137299,1024,1.0,4.561233997344971
125,125.772705078125,1024,-63339.453125,-12.26982593536377,-61.85493469238281,-35.591007232666016,False,nan,nan,nan,False,nan,nan,nan,False,nan,37.994873046875,3.6716017723083496,62938996.0,0.22052401304244995,1024,1.0,4.593075275421143
130,127.86156463623047,1024,-62524.54296875,-12.26982593536377,-61.05912399291992,-35.464256286621094,False,nan,nan,nan,False,nan,nan,nan,False,nan,44.22319030761719,3.6716017723083496,75915680.0,0.22999565303325653,1024,1.0,4.570727825164795
135,128.8374786376953,1024,-61981.5390625,-12.26982593536377,-60.528846740722656,-35.83631896972656,False,nan,nan,nan,False,nan,nan,nan,False,nan,72.98526000976562,3.6716017723083496,97687152.0,0.2381802797317505,1024,1.0,4.4839043617248535
140,129.84616088867188,1024,-61395.390625,-12.26982593536377,-59.95643615722656,-35.76719284057617,False,nan,nan,nan,False,nan,nan,nan,False,nan,83.16606903076172,3.3400766849517822,110962200.0,0.24584932625293732,1024,1.0,4.504256248474121
145,130.8227996826172,1024,-60046.48828125,-12.26982593536377,-58.6391487121582,-34.8510627746582,False,nan,nan,nan,False,nan,nan,nan,False,nan,77.55656433105469,3.2821269035339355,130152960.0,0.25130948424339294,1024,1.0,4.5826520919799805
150,131.8076934814453,1024,-59620.34375,-12.26982593536377,-58.222991943359375,-34.457759857177734,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,82.09030151367188,3.3400766849517822,147975632.0,0.2580970525741577,1024,1.0,4.542261123657227
155,146.09854125976562,1024,-67299.09375,-12.26982593536377,-65.72177124023438,-33.7867317199707,False,nan,nan,nan,False,nan,nan,nan,False,nan,1028.150146484375,10.694915771484375,178096912.0,0.1640300750732422,1024,1.0,4.454451560974121
160,147.08050537109375,1024,-66545.34375,-12.26982593536377,-64.98568725585938,-33.859031677246094,False,nan,nan,nan,False,nan,nan,nan,False,nan,2224.42919921875,10.080175399780273,804093504.0,0.2497856467962265,1024,1.0,4.65869140625
165,148.075927734375,1024,-65560.140625,-12.26982593536377,-64.02357482910156,-34.17549133300781,False,nan,nan,nan,False,nan,nan,nan,False,nan,3742.569580078125,10.748408317565918,1664706688.0,0.2979810833930969,1024,1.0,4.752145290374756
170,149.06468200683594,1024,-64787.7578125,-12.26982593536377,-63.26929473876953,-33.43498229980469,False,nan,nan,nan,False,nan,nan,nan,False,nan,8655.103515625,23.155393600463867,4213513472.0,0.3202335834503174,1024,1.0,4.730960369110107
175,150.0465545654297,1024,-63383.890625,-12.26982593536377,-61.89833068847656,-32.83805465698242,False,nan,nan,nan,False,nan,nan,nan,False,nan,10315.4931640625,16.929292678833008,6962544640.0,0.34159815311431885,1024,1.0,4.77310037612915
180,152.08859252929688,1024,-62580.28125,-12.26982593536377,-61.113555908203125,-32.729225158691406,False,nan,nan,nan,False,nan,nan,nan,False,nan,11128.255859375,13.365335464477539,8061581312.0,0.35482022166252136,1024,1.0,4.790072441101074
185,153.0665740966797,1024,-61536.9453125,-12.26982593536377,-60.09467315673828,-31.943649291992188,False,nan,nan,nan,False,nan,nan,nan,False,nan,12118.5439453125,23.020511627197266,9917973504.0,0.36557701230049133,1024,1.0,4.737973690032959
190,154.05667114257812,1024,-60830.4921875,-12.26982593536377,-59.40477752685547,-31.48998260498047,False,nan,nan,nan,False,nan,nan,nan,False,nan,12649.419921875,23.020511627197266,11699137536.0,0.37462273240089417,1024,1.0,4.748937129974365
195,155.0328369140625,1024,-60027.5390625,-12.26982593536377,-58.620643615722656,-30.781539916992188,False,nan,nan,nan,False,nan,nan,nan,False,nan,14021.1630859375,23.237693786621094,13524727808.0,0.38604703545570374,1024,1.0,4.747220039367676
200,156.00526428222656,1024,-59756.77734375,-12.26982593536377,-58.35622787475586,-31.15999984741211,False,nan,nan,nan,False,nan,nan,nan,False,nan,19708.59765625,23.270498275756836,15402406912.0,0.3950589597225189,1024,1.0,4.763572692871094
205,156.9811248779297,1024,-59378.46484375,-12.26982593536377,-57.98678207397461,-30.49953842163086,False,nan,nan,nan,False,nan,nan,nan,False,nan,17828.220703125,23.122623443603516,16777667584.0,0.4000621736049652,1024,1.0,4.753599643707275
210,157.9613037109375,1024,-58623.28125,-12.26982593536377,-57.249298095703125,-29.97539710998535,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,21201.26171875,23.270498275756836,19195056128.0,0.4028526246547699,1024,1.0,4.7576212882995605
215,175.89956665039062,1024,-62878.18359375,-12.26982593536377,-61.404476165771484,-28.02325439453125,False,nan,nan,nan,False,nan,nan,nan,False,nan,2221540.0,27.41209602355957,17743712256.0,0.09719010442495346,1024,1.0,4.3419294357299805
220,176.8864288330078,1024,-60789.66015625,-12.26982593536377,-59.36490249633789,-27.878456115722656,False,nan,nan,nan,False,nan,nan,nan,False,nan,2501769.0,27.638498306274414,102426746880.0,0.14470703899860382,1024,1.0,4.6077880859375
225,177.88319396972656,1024,-59752.90234375,-12.26982593536377,-58.35244369506836,-28.931488037109375,False,nan,nan,nan,False,nan,nan,nan,False,nan,2852070.0,28.115192413330078,266821074944.0,0.1740548461675644,1024,1.0,4.698286056518555
230,178.8688201904297,1024,-59844.96875,-12.26982593536377,-58.442352294921875,-30.13718032836914,False,nan,nan,nan,False,nan,nan,nan,False,nan,3163508.25,28.04451560974121,530865324032.0,0.19857673346996307,1024,1.0,4.552972316741943
235,179.86419677734375,1024,-59179.515625,-12.26982593536377,-57.79249572753906,-30.75762176513672,False,nan,nan,nan,False,nan,nan,nan,False,nan,4380008.0,27.834033966064453,1031377518592.0,0.21821510791778564,1024,1.0,4.475988388061523
240,181.96824645996094,1024,-58713.2734375,-12.26982593536377,-57.337181091308594,-32.0848503112793,False,nan,nan,nan,False,nan,nan,nan,False,nan,4459201.5,27.90337371826172,1335426809856.0,0.23805582523345947,1024,1.0,4.397374153137207
