generation,wall_time_s,train_loss_start,train_loss_end,loss_drop_rel,latent_drift,effective_rank
10,20.733579635620117,10109.6123046875,521.9720458984375,0.9483687281608582,0.7804052233695984,6.826574325561523
10,35.93666076660156,111.71471405029297,0.009331975132226944,0.9999164938926697,0.31102460622787476,8.38437557220459
30,53.514610290527344,25.978618621826172,9.27676010131836,0.6429078578948975,0.06243856996297836,8.215314865112305
30,59.257728576660156,88.60189056396484,45.62510681152344,0.48505493998527527,0.11165726184844971,8.336676597595215
60,72.54820251464844,512.4412841796875,224.05648803710938,0.5627664923667908,0.11135318875312805,8.16971492767334
60,87.79023742675781,165.21932983398438,5.312740325927734,0.9678443074226379,0.11689090728759766,8.526121139526367
100,102.76718139648438,179.6354522705078,75.24889373779297,0.581102192401886,0.053733788430690765,7.859441757202148
100,117.25186920166016,74.3160171508789,0.02408498153090477,0.9996759295463562,0.04779132828116417,8.889968872070312
150,135.63711547851562,55.90159606933594,23.337886810302734,0.5825183987617493,0.14823921024799347,8.358711242675781
150,141.3842010498047,71.29931640625,50.12366485595703,0.2969965636730194,0.2211180329322815,8.906795501708984
210,157.22259521484375,805.6619873046875,703.3510131835938,0.12698994576931,0.35140514373779297,6.404716491699219
210,166.2147674560547,89.25979614257812,19.92465591430664,0.776779055595398,0.09734361618757248,7.39758825302124
280,187.9028778076172,19179.30859375,750.1765747070312,0.9608861804008484,0.23219212889671326,7.456416606903076
280,194.64874267578125,114.20333862304688,27.88006591796875,0.755873441696167,0.1275600790977478,6.707663536071777
360,217.55322265625,441.0499267578125,202.37599182128906,0.5411494970321655,0.08630659431219101,8.315773963928223
360,225.71315002441406,148.732421875,37.75201416015625,0.7461749315261841,0.07338057458400726,8.158984184265137
450,249.404541015625,435.5313415527344,219.82249450683594,0.49527743458747864,0.05296691507101059,6.928927898406982
450,260.64093017578125,84.06375122070312,9.43012809753418,0.8878217339515686,0.04849545657634735,8.008672714233398
550,287.90185546875,227.172607421875,441.1499328613281,-0.9419151544570923,0.10221974551677704,6.409666538238525
550,302.1510009765625,141.84149169921875,17.083215713500977,0.8795612454414368,0.06853193044662476,7.271618366241455
660,337.80572509765625,40898.8359375,320.9886474609375,0.9921516180038452,0.030389226973056793,6.9436821937561035
660,350.3327331542969,100.57133483886719,35.388572692871094,0.648124635219574,0.11941589415073395,7.902976989746094
780,384.3386535644531,826.3690185546875,328.61053466796875,0.6023440957069397,0.020713118836283684,7.021434307098389
780,397.6590881347656,67.33418273925781,20.80453109741211,0.6910257339477539,0.05183880031108856,8.242757797241211
910,434.3600158691406,1630.3240966796875,193.71609497070312,0.8811793923377991,0.09726311266422272,8.005141258239746
910,437.9644775390625,81.47174072265625,55.091331481933594,0.323798269033432,0.021995408460497856,8.170990943908691
1050,469.99462890625,152228.3125,336.8467712402344,0.9977872371673584,0.01213066652417183,7.429295063018799
1050,484.19366455078125,31.486692428588867,0.7593923211097717,0.9758821129798889,0.046432167291641235,8.161067962646484
1200,516.7119140625,88.63829040527344,83.08251953125,0.06267912685871124,0.08167819678783417,7.19495964050293
1200,523.8154296875,60.995460510253906,42.18970489501953,0.3083140254020691,0.04563479870557785,7.930212497711182
1360,561.458740234375,302.3027648925781,198.5983123779297,0.3430483043193817,0.1116902232170105,7.731841564178467
1360,575.94140625,90.15570068359375,4.7416205406188965,0.9474062919616699,0.04727572947740555,7.8755998611450195
1530,621.72607421875,158.57337951660156,91.04530334472656,0.42584750056266785,0.11259777843952179,8.35816764831543
1530,627.8637084960938,86.90376281738281,23.043859481811523,0.7348347306251526,0.05524095147848129,8.25937271118164
1710,668.7169189453125,240.2006072998047,156.23550415039062,0.349562406539917,0.06214442849159241,7.526420593261719
1710,676.237060546875,59.57115936279297,12.601882934570312,0.7884566187858582,0.027301782742142677,7.866044044494629
1900,723.132568359375,309.93743896484375,141.12313842773438,0.5446721911430359,0.03848717361688614,7.396172523498535
1900,733.98095703125,64.24210357666016,14.955875396728516,0.7671951055526733,0.07445472478866577,7.290287017822266
