generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.942481994628906,1024,-73366.75,-13.918718338012695,-71.647216796875,-54.26603317260742,False,nan,nan,nan,False,nan,nan,nan,False,nan,1413993088.0,74.84689331054688,41881455034368.0,0.24985022842884064,1024,1.0,2.791083812713623
10,6.07371711730957,1024,-68887.140625,-13.265745162963867,-67.27259826660156,-42.65639114379883,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,2326972928.0,78.76851654052734,358348650184704.0,0.3154367506504059,1024,1.0,3.381903886795044
15,40.265254974365234,1024,-72083.125,-12.565205574035645,-70.3936767578125,-45.8595085144043,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.19359655678272247,3.217351198196411,1566.20361328125,0.0369514636695385,1024,1.0,3.966820001602173
20,41.249847412109375,1024,-72706.5859375,-12.565205574035645,-71.00252532958984,-45.48527145385742,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.46697887778282166,3.3906750679016113,10330.876953125,0.054444570094347,1024,1.0,4.02562952041626
25,42.28485107421875,1024,-72725.546875,-12.565205574035645,-71.02104187011719,-45.4793815612793,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.49908939003944397,3.400778293609619,21134.7109375,0.06578350067138672,1024,1.0,4.04599666595459
30,43.26527404785156,1024,-71990.765625,-12.565205574035645,-70.30348205566406,-43.99880599975586,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,0.533341646194458,3.867255449295044,36487.2890625,0.0727102980017662,1024,1.0,4.032740116119385
35,67.7424087524414,1024,-74241.578125,-12.565205574035645,-72.50154113769531,-56.28306198120117,False,nan,nan,nan,False,nan,nan,nan,False,nan,3.6168668270111084,2.75649356842041,1005894.0625,0.1382056027650833,1024,1.0,4.7056684494018555
40,69.65570068359375,1024,-72751.84375,-12.565205574035645,-71.04672241210938,-52.37694549560547,False,nan,nan,nan,False,nan,nan,nan,False,nan,7.029234409332275,2.6952738761901855,2753538.25,0.17468835413455963,1024,1.0,4.5980305671691895
45,70.65064239501953,1024,-70963.234375,-12.565205574035645,-69.30003356933594,-49.31732940673828,False,nan,nan,nan,False,nan,nan,nan,False,nan,16.783430099487305,2.937715768814087,5754760.0,0.1927390694618225,1024,1.0,4.38117790222168
50,71.64301300048828,1024,-70104.0,-12.565205574035645,-68.4609375,-47.62848663330078,False,nan,nan,nan,False,nan,nan,nan,False,nan,20.851016998291016,3.1212096214294434,8096964.5,0.20288485288619995,1024,1.0,4.244305610656738
