generation,wall_time_s,train_loss_start,train_loss_end,loss_drop_rel,latent_drift,effective_rank
10,24.548084259033203,26630.037109375,294.5487060546875,0.9889392256736755,0.8863211870193481,4.310093402862549
10,39.294761657714844,42.404781341552734,0.04734121263027191,0.9988836050033569,0.09512273967266083,4.821481704711914
30,57.13955307006836,110.48495483398438,45.877628326416016,0.5847613215446472,0.10171224176883698,7.4127020835876465
30,66.74810791015625,239.06680297851562,4.611336708068848,0.9807111024856567,0.07648788392543793,6.17734956741333
60,86.99478149414062,575.8696899414062,136.29563903808594,0.7633220553398132,0.21673157811164856,7.53145694732666
60,92.57946014404297,163.31796264648438,14.457281112670898,0.9114776849746704,0.21122485399246216,6.154809951782227
100,115.86668395996094,1936.797119140625,167.65725708007812,0.9134358167648315,0.1680832803249359,6.139077663421631
100,123.92761993408203,644.642333984375,73.8106918334961,0.8855013251304626,0.1442684829235077,7.452488422393799
150,153.0863800048828,1063102.75,339.44744873046875,0.9996806979179382,0.39867138862609863,5.427532196044922
150,161.70579528808594,701.1217651367188,60.38235855102539,0.9138774871826172,0.2720611095428467,5.541527271270752
210,191.93551635742188,2365824.25,628.19140625,0.9997344613075256,0.3701283931732178,5.076534748077393
210,196.9533233642578,548.692138671875,209.22203063964844,0.6186895966529846,0.30473336577415466,6.2658514976501465
280,219.45755004882812,26811.521484375,835.2738647460938,0.9688464403152466,0.4941408634185791,5.521060466766357
280,227.31869506835938,421.8813781738281,3.139397382736206,0.9925585985183716,0.49547380208969116,5.710517883300781
360,258.0192565917969,2877318.0,89.50436401367188,0.9999688863754272,0.7004374861717224,2.1738979816436768
360,268.0787658691406,1082.294677734375,240.36874389648438,0.777908205986023,0.49856287240982056,5.5680365562438965
450,294.4895935058594,1147.8359375,510.387939453125,0.5553476810455322,0.4218032956123352,3.8185064792633057
450,301.12030029296875,332.830322265625,2.934403896331787,0.9911834597587585,0.3771211504936218,5.199401378631592
550,328.1293029785156,668.865478515625,2324.2802734375,-2.474959135055542,0.3364851176738739,3.991529941558838
550,336.9574890136719,365.90362548828125,19.1359920501709,0.9477021098136902,0.21169160306453705,6.8255486488342285
660,365.7778625488281,4984.22998046875,715.8316040039062,0.8563807010650635,0.06000009924173355,5.922947406768799
660,367.51861572265625,168.48165893554688,156.32363891601562,0.07216227799654007,0.06768040359020233,6.035677433013916
780,398.4366149902344,608.012451171875,700.4298706054688,-0.15199922025203705,0.08498410880565643,6.3339738845825195
780,412.7831115722656,224.9874267578125,12.205306053161621,0.9457511901855469,0.4791710376739502,6.132210731506348
910,448.1014099121094,721.3534545898438,659.703125,0.08546479791402817,0.10297825932502747,4.488459587097168
910,456.8387145996094,91.9610824584961,19.37249755859375,0.7893402576446533,0.3986237049102783,4.737645149230957
1050,506.8292236328125,405445.28125,473.0248718261719,0.9988332986831665,0.3190936744213104,6.500993251800537
1050,519.1716918945312,25.4212703704834,0.42219698429107666,0.9833920001983643,0.0843881219625473,6.76222038269043
1200,568.8910522460938,176052032.0,2519.14697265625,0.9999856948852539,0.6997398138046265,3.759251594543457
1200,576.6234130859375,6026.48046875,352.01116943359375,0.9415892362594604,0.22298485040664673,3.876473903656006
1360,617.3696899414062,42319.0703125,1965.14892578125,0.9535635113716125,0.6764910817146301,3.5954883098602295
1360,626.1614990234375,18.167255401611328,1.2700982093811035,0.9300885796546936,0.47639328241348267,4.770348072052002
1530,676.6014404296875,1809.2554931640625,1147.089111328125,0.3659883141517639,0.8296070098876953,4.635810375213623
1530,691.6671752929688,200.96693420410156,2.265915870666504,0.988724946975708,0.5812176465988159,5.390313148498535
1710,737.4481811523438,18523.9140625,759.4545288085938,0.9590014219284058,0.19872111082077026,6.660018444061279
1710,741.92822265625,26.371992111206055,8.477831840515137,0.6785289645195007,0.25683271884918213,6.955881118774414
1900,790.6573486328125,13627.0771484375,1008.853759765625,0.9259669780731201,0.15715442597866058,5.856686592102051
1900,805.979248046875,762.6798706054688,9.233415603637695,0.9878934621810913,0.20833683013916016,6.855096340179443
