generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,5.08522891998291,1024,-73123.109375,-14.118935585021973,-71.40928649902344,-52.15563201904297,False,nan,nan,nan,False,nan,nan,nan,False,nan,87174560.0,17.785587310791016,3133312598016.0,0.25496482849121094,1024,1.0,3.4914071559906006
10,6.05522346496582,1024,-70564.0,-12.87211799621582,-68.91015625,-42.11220169067383,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,186622208.0,16.371583938598633,12494200373248.0,0.33915647864341736,1024,1.0,3.46773362159729
15,39.72520446777344,1024,-73624.390625,-12.87211799621582,-71.89881896972656,-56.04228210449219,False,nan,nan,nan,False,nan,nan,nan,False,nan,68.31895446777344,4.229835033416748,6584400.0,0.19427065551280975,1024,1.0,4.730745315551758
20,40.68691635131836,1024,-72958.265625,-12.87211799621582,-71.24830627441406,-53.830650329589844,False,nan,nan,nan,False,nan,nan,nan,False,nan,132.5119171142578,3.479907989501953,25325384.0,0.2451464682817459,1024,1.0,4.7870402336120605
25,41.66426467895508,1024,-71767.875,-12.87211799621582,-70.0858154296875,-51.49360656738281,False,nan,nan,nan,False,nan,nan,nan,False,nan,167.14195251464844,3.3423779010772705,58324088.0,0.2643699645996094,1024,1.0,4.907340049743652
30,42.6403923034668,1024,-71568.46875,-12.87211799621582,-69.89108276367188,-52.467044830322266,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,191.87962341308594,4.386477470397949,107783664.0,0.28714659810066223,1024,1.0,4.998403072357178
35,74.66394805908203,1024,-71549.953125,-12.87211799621582,-69.87300109863281,-49.28437805175781,False,nan,nan,nan,False,nan,nan,nan,False,nan,6.7336931228637695,4.018116474151611,389345.6875,0.0714973583817482,1024,1.0,3.8916893005371094
40,77.07655334472656,1024,-70689.203125,-12.87211799621582,-69.03242492675781,-46.90522766113281,False,nan,nan,nan,False,nan,nan,nan,False,nan,13.96052074432373,4.018116474151611,1443257.5,0.1026754081249237,1024,1.0,4.0491719245910645
45,78.05184936523438,1024,-71047.828125,-12.87211799621582,-69.38264465332031,-47.44931411743164,False,nan,nan,nan,False,nan,nan,nan,False,nan,22.587833404541016,3.807508707046509,3379771.0,0.1255244016647339,1024,1.0,4.010957717895508
50,79.03044891357422,1024,-71032.4765625,-12.87211799621582,-69.3676528930664,-46.54850387573242,False,nan,nan,nan,False,nan,nan,nan,False,nan,25.71327018737793,4.017838478088379,4706908.0,0.1411914974451065,1024,1.0,4.011045455932617
55,80.00602722167969,1024,-70639.984375,-12.87211799621582,-68.98435974121094,-45.334171295166016,False,nan,nan,nan,False,nan,nan,nan,False,nan,26.39309310913086,4.056944847106934,5728982.0,0.15133564174175262,1024,1.0,4.0856475830078125
60,82.41658782958984,1024,-70066.765625,-12.858134269714355,-68.42457580566406,-44.07982635498047,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,30.776323318481445,3.628547430038452,7205922.5,0.1614730954170227,1024,1.0,4.176665782928467
65,98.21939086914062,1024,-71744.265625,-12.855315208435059,-70.06275939941406,-47.425724029541016,False,nan,nan,nan,False,nan,nan,nan,False,nan,90.3722915649414,3.510308265686035,20835400.0,0.18630312383174896,1024,1.0,4.89238977432251
70,99.18512725830078,1024,-71709.375,-12.356821060180664,-70.0286865234375,-45.722469329833984,False,nan,nan,nan,False,nan,nan,nan,False,nan,107.61151885986328,5.175902366638184,69112240.0,0.24149663746356964,1024,1.0,4.92606258392334
75,100.15349578857422,1024,-71252.0625,-12.356821060180664,-69.58209228515625,-44.31586837768555,False,nan,nan,nan,False,nan,nan,nan,False,nan,114.94151306152344,4.456365585327148,111312832.0,0.2731568515300751,1024,1.0,4.909436225891113
80,101.12886810302734,1024,-70796.625,-12.356821060180664,-69.1373291015625,-43.25041961669922,False,nan,nan,nan,False,nan,nan,nan,False,nan,154.0150146484375,7.409475803375244,152230896.0,0.29305362701416016,1024,1.0,4.910574436187744
85,102.10371398925781,1024,-69720.453125,-12.356821060180664,-68.08638000488281,-42.54399108886719,False,nan,nan,nan,False,nan,nan,nan,False,nan,175.25572204589844,7.409475803375244,201245872.0,0.3070477545261383,1024,1.0,4.9099907875061035
90,104.46202087402344,1024,-69314.21875,-12.356821060180664,-67.68966674804688,-42.70405960083008,False,nan,nan,nan,False,nan,nan,nan,False,nan,155.75341796875,7.407373428344727,248252000.0,0.3178858757019043,1024,1.0,4.917181015014648
95,105.43592071533203,1024,-68489.953125,-12.356821060180664,-66.88471984863281,-41.98862075805664,False,nan,nan,nan,False,nan,nan,nan,False,nan,159.14137268066406,5.5028486251831055,270170784.0,0.3251669704914093,1024,1.0,4.9063639640808105
100,106.40680694580078,1024,-67921.796875,-12.356821060180664,-66.32987976074219,-41.24955749511719,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,187.55665588378906,5.832220077514648,331707360.0,0.33400213718414307,1024,1.0,4.845853805541992
105,132.07302856445312,1024,-70457.171875,-12.356821060180664,-68.80583190917969,-45.06875991821289,False,nan,nan,nan,False,nan,nan,nan,False,nan,8199.814453125,5.179472923278809,1967619584.0,0.2745884358882904,1024,1.0,3.3417696952819824
