generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.46019172668457,1024,-73123.109375,-14.118935585021973,-71.40928649902344,-52.15563201904297,False,nan,nan,nan,False,nan,nan,nan,False,nan,87174560.0,17.785587310791016,3133312598016.0,0.25496482849121094,1024,1.0,3.4914071559906006
10,5.688164710998535,1024,-70564.0,-12.87211799621582,-68.91015625,-42.11220169067383,False,nan,nan,nan,False,nan,nan,nan,False,nan,186622208.0,16.371583938598633,12494200373248.0,0.33915647864341736,1024,1.0,3.46773362159729
15,33.026920318603516,1024,-71655.7265625,-12.87211799621582,-69.9762954711914,-44.88280487060547,False,nan,nan,nan,False,nan,nan,nan,False,nan,2.5177412033081055,1.8363816738128662,2035714.0,0.14118200540542603,1024,1.0,4.389636516571045
20,34.16523742675781,1024,-70978.3359375,-12.87211799621582,-69.31478118896484,-44.41785430908203,False,nan,nan,nan,False,nan,nan,nan,False,nan,2.983426332473755,1.8403594493865967,3192182.75,0.15920545160770416,1024,1.0,4.446710109710693
25,35.23812484741211,1024,-70210.4296875,-12.87211799621582,-68.56487274169922,-42.848655700683594,False,nan,nan,nan,False,nan,nan,nan,False,nan,3.7762317657470703,2.0745363235473633,4290732.0,0.16875667870044708,1024,1.0,4.454326629638672
30,36.22941589355469,1024,-69569.828125,-12.87211799621582,-67.93928527832031,-41.96831130981445,False,nan,nan,nan,False,nan,nan,nan,False,nan,3.944042205810547,1.839381217956543,4894967.0,0.17610137164592743,1024,1.0,4.491786956787109
35,45.024715423583984,1024,-70681.8125,-12.87211799621582,-69.02520751953125,-43.40037536621094,False,nan,nan,nan,False,nan,nan,nan,False,nan,17.04679298400879,2.5224392414093018,28838366.0,0.2105187624692917,1024,1.0,4.572325706481934
40,45.99591827392578,1024,-70094.6640625,-12.87211799621582,-68.45182037353516,-42.62990951538086,False,nan,nan,nan,False,nan,nan,nan,False,nan,18.826797485351562,2.8106184005737305,38067008.0,0.2305358201265335,1024,1.0,4.546347141265869
45,46.97584533691406,1024,-69407.296875,-12.87211799621582,-67.78056335449219,-42.015316009521484,False,nan,nan,nan,False,nan,nan,nan,False,nan,26.971843719482422,2.818242311477661,45235188.0,0.24125652015209198,1024,1.0,4.517467498779297
50,47.94573211669922,1024,-69020.125,-12.87211799621582,-67.4024658203125,-41.55422592163086,False,nan,nan,nan,False,nan,nan,nan,False,nan,34.77338409423828,2.562621831893921,51842092.0,0.25282418727874756,1024,1.0,4.6387410163879395
