generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,5.0279083251953125,1024,-74845.8203125,-14.362899780273438,-73.09162139892578,-57.971702575683594,False,nan,nan,nan,False,nan,nan,nan,False,nan,187293200.0,37.73722839355469,34883030220800.0,0.2859964072704315,1024,1.0,4.561307430267334
10,5.985415458679199,1024,-72492.203125,-14.362899780273438,-70.79316711425781,-47.929283142089844,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,245007584.0,39.19767379760742,157417463611392.0,0.3791145086288452,1024,1.0,4.365601539611816
15,39.84339904785156,1024,-72609.890625,-13.01382827758789,-70.90809631347656,-49.32157897949219,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.002856738865375519,1.4245978593826294,73.7865219116211,0.032174479216337204,1024,1.0,3.9057154655456543
20,40.80116271972656,1024,-72475.9609375,-13.01382827758789,-70.77730560302734,-49.54528045654297,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.004142189398407936,1.503944754600525,344.1072692871094,0.044139038771390915,1024,1.0,4.023216247558594
25,41.776649475097656,1024,-72092.6796875,-13.01382827758789,-70.40300750732422,-47.834659576416016,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.008231854066252708,1.715858817100525,812.82763671875,0.05221185460686684,1024,1.0,4.000020503997803
30,42.738311767578125,1024,-71238.0,-12.963728904724121,-69.568359375,-46.33088302612305,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,0.010152935050427914,1.632499098777771,1475.291015625,0.05887147784233093,1024,1.0,4.012750148773193
35,60.11526870727539,1024,-71983.6875,-12.963728904724121,-70.29656982421875,-51.11099624633789,False,nan,nan,nan,False,nan,nan,nan,False,nan,71.73454284667969,3.7510433197021484,15158268.0,0.16833432018756866,1024,1.0,4.884529113769531
40,62.55791091918945,1024,-71513.0625,-12.963728904724121,-69.83697509765625,-50.355567932128906,False,nan,nan,nan,False,nan,nan,nan,False,nan,104.86384582519531,3.6942121982574463,47599252.0,0.22678476572036743,1024,1.0,5.106552600860596
45,63.52122497558594,1024,-70485.7265625,-12.882253646850586,-68.8337173461914,-48.156044006347656,False,nan,nan,nan,False,nan,nan,nan,False,nan,140.24639892578125,3.7319257259368896,109079096.0,0.2563537061214447,1024,1.0,5.216689109802246
50,64.49588012695312,1024,-69493.5234375,-12.882253646850586,-67.8647689819336,-46.196292877197266,False,nan,nan,nan,False,nan,nan,nan,False,nan,267.3741149902344,4.120128154754639,287213600.0,0.2796368896961212,1024,1.0,5.260621547698975
